[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.15 [8896/60000 (15%)]	Loss: 0.254707	Error: 9.375000
Train Epoch: 0.15 [8960/60000 (15%)]	Loss: 0.174591	Error: 4.687500
Train Epoch: 0.15 [9024/60000 (15%)]	Loss: 0.162506	Error: 7.812500
Train Epoch: 0.15 [9088/60000 (15%)]	Loss: 0.290456	Error: 4.687500
Train Epoch: 0.15 [9152/60000 (15%)]	Loss: 0.373903	Error: 6.250000
Train Epoch: 0.15 [9216/60000 (15%)]	Loss: 0.356910	Error: 12.500000
Train Epoch: 0.15 [9280/60000 (15%)]	Loss: 0.311722	Error: 3.125000
Train Epoch: 0.15 [9344/60000 (15%)]	Loss: 0.118090	Error: 1.562500
Train Epoch: 0.16 [9408/60000 (16%)]	Loss: 0.099434	Error: 3.125000
Train Epoch: 0.16 [9472/60000 (16%)]	Loss: 0.186878	Error: 4.687500
Train Epoch: 0.16 [9536/60000 (16%)]	Loss: 0.269135	Error: 9.375000
Train Epoch: 0.16 [9600/60000 (16%)]	Loss: 0.282654	Error: 9.375000
Train Epoch: 0.16 [9664/60000 (16%)]	Loss: 0.359313	Error: 14.062500
Train Epoch: 0.16 [9728/60000 (16%)]	Loss: 0.251310	Error: 6.250000
Train Epoch: 0.16 [9792/60000 (16%)]	Loss: 0.207142	Error: 6.250000
Train Epoch: 0.16 [9856/60000 (16%)]	Loss: 0.203250	Error: 4.687500
Train Epoch: 0.16 [9920/60000 (16%)]	Loss: 0.216898	Error: 4.687500
Train Epoch: 0.17 [9984/60000 (17%)]	Loss: 0.312087	Error: 9.375000
Train Epoch: 0.17 [10048/60000 (17%)]	Loss: 0.137775	Error: 4.687500
Train Epoch: 0.17 [10112/60000 (17%)]	Loss: 0.378521	Error: 9.375000
Train Epoch: 0.17 [10176/60000 (17%)]	Loss: 0.304286	Error: 12.500000
Train Epoch: 0.17 [10240/60000 (17%)]	Loss: 0.251819	Error: 7.812500
Train Epoch: 0.17 [10304/60000 (17%)]	Loss: 0.122278	Error: 4.687500
Train Epoch: 0.17 [10368/60000 (17%)]	Loss: 0.330938	Error: 6.250000
Train Epoch: 0.17 [10432/60000 (17%)]	Loss: 0.129338	Error: 4.687500
Train Epoch: 0.17 [10496/60000 (17%)]	Loss: 0.198569	Error: 6.250000
Train Epoch: 0.17 [10560/60000 (17%)]	Loss: 0.214924	Error: 7.812500
Train Epoch: 0.18 [10624/60000 (18%)]	Loss: 0.401276	Error: 10.937500
Train Epoch: 0.18 [10688/60000 (18%)]	Loss: 0.215143	Error: 7.812500
Train Epoch: 0.18 [10752/60000 (18%)]	Loss: 0.361777	Error: 7.812500
Train Epoch: 0.18 [10816/60000 (18%)]	Loss: 0.357084	Error: 7.812500
Train Epoch: 0.18 [10880/60000 (18%)]	Loss: 0.511778	Error: 12.500000
Train Epoch: 0.18 [10944/60000 (18%)]	Loss: 0.387537	Error: 9.375000
Train Epoch: 0.18 [11008/60000 (18%)]	Loss: 0.229781	Error: 9.375000
Train Epoch: 0.18 [11072/60000 (18%)]	Loss: 0.215751	Error: 7.812500
Train Epoch: 0.18 [11136/60000 (18%)]	Loss: 0.152564	Error: 4.687500
Train Epoch: 0.19 [11200/60000 (19%)]	Loss: 0.384847	Error: 6.250000
Train Epoch: 0.19 [11264/60000 (19%)]	Loss: 0.244175	Error: 9.375000
Train Epoch: 0.19 [11328/60000 (19%)]	Loss: 0.097988	Error: 1.562500
Train Epoch: 0.19 [11392/60000 (19%)]	Loss: 0.240397	Error: 6.250000
Train Epoch: 0.19 [11456/60000 (19%)]	Loss: 0.269400	Error: 9.375000
Train Epoch: 0.19 [11520/60000 (19%)]	Loss: 0.075762	Error: 3.125000
Train Epoch: 0.19 [11584/60000 (19%)]	Loss: 0.135259	Error: 4.687500
Train Epoch: 0.19 [11648/60000 (19%)]	Loss: 0.503695	Error: 14.062500
Train Epoch: 0.19 [11712/60000 (19%)]	Loss: 0.175617	Error: 6.250000
Train Epoch: 0.20 [11776/60000 (20%)]	Loss: 0.090823	Error: 3.125000
Train Epoch: 0.20 [11840/60000 (20%)]	Loss: 0.323726	Error: 9.375000
Train Epoch: 0.20 [11904/60000 (20%)]	Loss: 0.106088	Error: 4.687500
Train Epoch: 0.20 [11968/60000 (20%)]	Loss: 0.383661	Error: 18.750000
Train Epoch: 0.20 [12032/60000 (20%)]	Loss: 0.263582	Error: 9.375000
Train Epoch: 0.20 [12096/60000 (20%)]	Loss: 0.347045	Error: 9.375000
Train Epoch: 0.20 [12160/60000 (20%)]	Loss: 0.251827	Error: 6.250000
Train Epoch: 0.20 [12224/60000 (20%)]	Loss: 0.527557	Error: 14.062500
Train Epoch: 0.20 [12288/60000 (20%)]	Loss: 0.354167	Error: 12.500000
Train Epoch: 0.20 [12352/60000 (20%)]	Loss: 0.322549	Error: 7.812500
Train Epoch: 0.21 [12416/60000 (21%)]	Loss: 0.441362	Error: 3.125000
Train Epoch: 0.21 [12480/60000 (21%)]	Loss: 0.293226	Error: 6.250000
Train Epoch: 0.21 [12544/60000 (21%)]	Loss: 0.181644	Error: 6.250000
Train Epoch: 0.21 [12608/60000 (21%)]	Loss: 0.100786	Error: 3.125000
